Lloyd Pierce,ATL,36,16,20,185,65,120,185,65,120,.351
Brad Stevens,BOS,38,20,18,602,338,264,602,338,264,.561
Steve Nash,BRK,39,26,13,39,26,13,39,26,13,.667
Billy Donovan,CHI,37,17,20,37,17,20,437,260,177,.595
James Borrego,CHO,37,19,18,184,81,103,214,91,123,.425
J.B. Bickerstaff,CLE,38,14,24,49,19,30,265,104,161,.392
Rick Carlisle,DAL,37,20,17,998,533,465,1490,814,676,.546
Mike Malone,DEN,38,22,16,439,241,198,545,280,265,.514
Dwane Casey,DET,38,10,28,186,71,115,866,444,422,.513
Steve Kerr,GSW,39,20,19,514,357,157,514,357,157,.695
Stephen Silas,HOU,37,11,26,37,11,26,37,11,26,.297
Nate Bjorkgren,IND,37,17,20,37,17,20,37,17,20,.459
Tyronn Lue,LAC,40,25,15,40,25,15,251,153,98,.610
Frank Vogel,LAL,38,25,13,109,77,32,704,381,323,.541
Taylor Jenkins,MEM,35,17,18,108,51,57,108,51,57,.472
Erik Spoelstra,MIA,39,21,18,998,588,410,998,588,410,.589
Mike Budenholzer,MIL,38,24,14,193,140,53,603,353,250,.585
Ryan Saunders,MIN,31,7,24,137,43,94,137,43,94,.314
Stan Van Gundy,NOP,39,17,22,39,17,22,946,540,406,.571
Tom Thibodeau,NYK,39,20,19,39,20,19,637,372,265,.584
Mark Daigneault,OKC,39,17,22,39,17,22,39,17,22,.436
Steve Clifford,ORL,39,13,26,194,88,106,604,284,320,.470
Doc Rivers,PHI,39,27,12,39,27,12,1663,970,693,.583
Monty Williams,PHO,37,25,12,110,59,51,504,232,272,.460
Terry Stotts,POR,38,22,16,686,382,304,969,497,472,.513
Luke Walton,SAC,38,15,23,110,46,64,356,144,212,.404
Gregg Popovich,SAS,35,19,16,1926,1296,630,1926,1296,630,.673
Nick Nurse,TOR,39,17,22,193,128,65,193,128,65,.663
Quin Snyder,UTA,38,28,10,520,299,221,520,299,221,.575
Scott Brooks,WAS,37,14,23,355,163,192,900,501,399,.557
