Bradley Beal\bealbr01,SG,27,WAS,34,34,35.5,11.2,23.5,.478,2.2,6.8,.329,9.0,16.7,.539,.526,7.4,8.3,.900,1.3,4.0,5.3,4.6,1.4,0.4,3.2,2.4,32.1
Joel Embiid\embiijo01,C,26,PHI,31,31,32.6,9.5,18.0,.525,1.2,2.9,.422,8.2,15.1,.545,.559,9.8,11.4,.859,2.2,9.3,11.5,3.3,1.2,1.4,3.2,2.5,29.9
Damian Lillard\lillada01,PG,30,POR,37,37,36.1,9.3,20.8,.446,4.3,11.2,.386,5.0,9.6,.517,.550,7.0,7.5,.932,0.5,3.9,4.4,7.9,1.0,0.3,3.3,1.6,29.9
Stephen Curry\curryst01,PG,32,GSW,37,37,34.0,9.7,20.4,.476,4.8,11.6,.411,4.9,8.8,.561,.593,5.2,5.6,.927,0.5,4.9,5.4,6.3,1.3,0.1,3.1,1.8,29.3
Giannis Antetokounmpo\antetgi01,PF,26,MIL,37,37,33.9,10.5,18.7,.561,1.1,3.8,.296,9.4,14.9,.629,.591,6.9,10.2,.672,1.9,9.7,11.6,6.1,1.2,1.4,3.6,3.0,29.0
Luka Dončić\doncilu01,PG,21,DAL,34,34,35.2,9.9,20.7,.476,2.6,7.6,.349,7.2,13.1,.549,.540,5.9,7.8,.754,0.8,7.6,8.4,9.1,0.9,0.6,4.2,2.1,28.2
Zach LaVine\lavinza01,SG,25,CHI,37,37,35.5,10.0,19.2,.523,3.5,7.9,.435,6.6,11.2,.586,.614,4.6,5.4,.859,0.7,4.5,5.2,5.1,1.0,0.5,3.9,2.6,28.1
Kyrie Irving\irvinky01,PG,28,BRK,28,28,35.5,10.4,20.3,.514,2.9,7.1,.407,7.5,13.2,.572,.585,3.6,4.0,.894,1.2,3.7,4.9,5.8,1.1,0.6,2.4,2.8,27.4
Nikola Jokić\jokicni01,C,25,DEN,38,38,35.9,10.6,18.7,.566,1.5,3.7,.411,9.1,15.0,.605,.607,4.4,5.1,.876,2.8,8.3,11.1,8.6,1.6,0.6,3.1,2.8,27.1
Kawhi Leonard\leonaka01,SF,29,LAC,32,32,34.3,9.6,18.5,.517,2.1,5.2,.404,7.5,13.3,.561,.573,5.3,6.1,.877,0.9,5.4,6.3,4.8,1.6,0.5,2.0,1.6,26.6
Trae Young\youngtr01,PG,22,ATL,37,37,34.5,7.7,17.8,.433,2.5,6.7,.379,5.2,11.1,.466,.505,8.4,9.6,.873,0.7,3.4,4.1,9.2,0.8,0.2,4.4,2.0,26.4
LeBron James\jamesle01,PG,36,LAL,37,37,34.6,9.6,18.9,.507,2.4,6.6,.357,7.2,12.3,.588,.569,4.1,5.9,.689,0.6,7.3,7.9,7.8,1.1,0.6,3.7,1.6,25.6
Zion Williamson\willizi01,PF,20,NOP,37,37,32.6,9.9,16.0,.619,0.2,0.5,.316,9.7,15.5,.629,.624,5.6,8.1,.691,2.7,4.3,7.0,3.4,0.9,0.7,2.5,2.4,25.5
James Harden\hardeja01,PG-SG,31,TOT,33,33,37.8,8.0,16.7,.478,3.1,8.1,.383,4.9,8.7,.566,.571,6.1,7.0,.870,0.9,7.1,7.9,11.0,1.2,0.8,4.3,2.2,25.2
Devin Booker\bookede01,SG,24,PHO,33,33,34.0,9.2,18.6,.497,2.0,5.6,.362,7.2,13.0,.555,.551,4.5,5.4,.843,0.2,3.5,3.7,4.6,0.8,0.3,3.5,2.9,25.1
Jayson Tatum\tatumja01,SF,22,BOS,33,33,35.6,9.1,20.5,.445,2.6,7.0,.375,6.5,13.5,.481,.509,4.2,4.8,.863,0.6,6.4,7.0,4.5,1.3,0.5,2.5,1.9,25.1
Nikola Vučević\vucevni01,C,30,ORL,39,39,33.9,10.1,20.5,.490,2.7,6.5,.416,7.3,14.0,.525,.556,2.2,2.5,.848,1.9,9.7,11.6,3.7,1.0,0.6,1.9,1.7,25.0
Donovan Mitchell\mitchdo01,SG,24,UTA,36,36,34.1,8.4,20.1,.419,3.3,8.8,.381,5.1,11.4,.449,.502,4.5,5.5,.823,1.1,3.6,4.6,5.4,0.9,0.3,3.0,2.3,24.8
Jaylen Brown\brownja02,SG,24,BOS,35,35,33.8,9.1,18.7,.489,2.3,6.0,.384,6.8,12.6,.538,.551,3.8,5.0,.764,1.1,4.4,5.5,3.9,1.2,0.5,2.8,2.8,24.3
Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,32,32,34.0,8.1,15.8,.509,2.1,5.0,.415,6.0,10.9,.552,.574,5.5,6.8,.808,0.6,4.4,5.0,6.2,0.8,0.6,2.9,2.1,23.7
