Utah Jazz,28-10,16-2,12-8,15-4,13-6,3-3,6-0,6-1,3-2,4-3,6-1,27-9,1-1,1-0,24-5,2-2,13-3,12-2,1-3,0-0,0-0
Philadelphia 76ers,27-12,17-3,10-9,20-6,7-6,6-2,5-3,9-1,2-4,2-1,3-1,24-12,3-0,2-2,13-7,4-1,11-5,7-6,5-0,0-0,0-0
Brooklyn Nets,26-13,15-6,11-7,13-9,13-4,4-2,3-3,6-4,3-1,8-0,2-3,24-13,2-0,1-3,14-7,3-2,10-7,9-4,4-0,0-0,0-0
Los Angeles Clippers,25-15,13-6,12-9,10-7,15-8,1-4,5-1,4-2,7-2,6-2,2-4,24-14,1-1,1-3,15-5,4-1,12-4,8-7,1-3,0-0,0-0
Los Angeles Lakers,25-13,12-8,13-5,8-5,17-8,1-2,6-1,1-2,7-3,1-4,9-1,24-13,1-0,4-5,12-5,3-2,12-4,9-5,1-2,0-0,0-0
Phoenix Suns,25-12,12-7,13-5,9-5,16-7,3-1,5-2,1-2,5-3,4-2,7-2,24-11,1-1,3-2,12-3,4-1,6-7,12-3,3-1,0-0,0-0
Milwaukee Bucks,24-14,15-5,9-9,14-7,10-7,2-5,8-0,4-2,4-4,3-2,3-1,22-14,2-0,2-3,17-8,2-3,9-5,10-5,3-1,0-0,0-0
Denver Nuggets,22-16,9-8,13-8,8-6,14-10,2-2,5-1,1-3,7-1,4-6,3-3,21-15,1-1,2-4,14-7,1-3,11-5,6-7,4-1,0-0,0-0
Portland Trail Blazers,22-16,11-7,11-9,10-5,12-11,4-1,2-3,4-1,3-4,6-5,3-2,21-14,1-2,7-4,8-8,2-2,8-6,8-6,4-2,0-0,0-0
Miami Heat,21-18,11-8,10-10,12-12,9-6,4-6,3-2,5-4,3-2,3-3,3-1,18-18,3-0,3-3,8-9,2-2,5-10,10-5,4-1,0-0,0-0
Boston Celtics,20-18,12-5,8-13,14-11,6-7,3-5,6-3,5-3,1-1,3-3,2-3,19-17,1-1,4-4,9-7,3-2,7-6,7-9,3-1,0-0,0-0
Dallas Mavericks,20-17,10-8,10-9,9-6,11-11,2-2,1-3,6-1,4-5,2-5,5-1,18-16,2-1,3-3,11-10,1-3,7-9,8-4,4-1,0-0,0-0
Golden State Warriors,20-19,13-6,7-13,10-8,10-11,2-4,5-2,3-2,4-4,3-5,3-2,19-18,1-1,3-3,12-11,2-2,9-7,8-7,1-3,0-0,0-0
New York Knicks,20-19,11-7,9-12,13-11,7-8,1-3,8-4,4-4,4-4,2-3,1-1,19-18,1-1,1-3,13-11,2-3,7-9,9-5,2-2,0-0,0-0
Atlanta Hawks,19-20,10-9,9-11,13-12,6-8,6-5,4-4,3-3,3-4,2-1,1-3,16-20,3-0,2-2,12-8,3-1,7-8,4-11,5-0,0-0,0-0
Charlotte Hornets,19-18,11-8,8-10,11-9,8-9,3-5,3-3,5-1,2-4,3-1,3-4,17-18,2-0,7-3,7-11,2-2,7-9,7-6,3-1,0-0,0-0
